Longitude,Latitude,Information
38.9072,77.0369,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
46.7296,94.6859,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
37.9643,91.8318,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
41.4925,99.9018,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
47.5515,101.002,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
43.9695,99.9018,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
35.5175,86.5804,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
31.9686,99.9018,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
44.0682,114.742,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
39.321,111.0937,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
43.076,107.2903,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
46.8797,110.3626,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
18.3358,64.8963,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
19.8968,155.5828,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
44.3148,85.6024,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
35.7596,79.0193,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
38.5976,80.4549,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
37.4316,78.6569,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
35.4676,97.5164,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
